market_name,market_id,market_address,is_shutdown,deployment_deprecated,deployment_disabled,currency,window_start_inclusive_utc,window_end_inclusive_utc,first_volume_hour_utc,last_volume_hour_utc,volume_30d_ovl,avg_24h_bucket_volume_ovl,median_24h_bucket_volume_ovl,max_24h_bucket_volume_ovl,max_24h_bucket_start_utc,max_24h_bucket_end_utc,active_24h_buckets,active_hours,hour_rows,share_30d_volume_pct,current_total_volume_ovl,number_of_builds_lifetime,number_of_unwinds_lifetime,number_of_liquidates_lifetime,explorer_url
Double or Nothing,Double%20or%20Nothing,0xffada7c70c2868fd0fe9be85d326317923baa0a8,true,true,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,558381.077810,186,73,113,https://bscscan.com/address/0xffada7c70c2868fd0fe9be85d326317923baa0a8
GOLD / USD,GOLD%20%2F%20USD,0x2be9fcd44635ae5d2c0bd39ae1fb5615d9e5299d,false,false,false,USD,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,17845748.113767,88,74,14,https://bscscan.com/address/0x2be9fcd44635ae5d2c0bd39ae1fb5615d9e5299d
Hikaru Nakamura,Hikaru%20Nakamura,0xfc1d83139aa4737a76e017596afa7c51f80470d0,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,6232.944060,5,3,1,https://bscscan.com/address/0xfc1d83139aa4737a76e017596afa7c51f80470d0
James Wynn Mind Stability Index,James%20Wynn%20Mind%20Stability%20Index,0x68943f4562f34a0f24dfb103a1f31f829866bc11,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,15772.219340,8,5,3,https://bscscan.com/address/0x68943f4562f34a0f24dfb103a1f31f829866bc11
Jessicanigri vs Monalita,Jessicanigri%20vs%20Monalita,0x84051e966ac782e794786333f0cd5d4584cf0ee2,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,34185.358501,8,5,1,https://bscscan.com/address/0x84051e966ac782e794786333f0cd5d4584cf0ee2
Lana Del Rey,Lana%20Del%20Rey,0xc1890c46342aa706929bdc32691eb60342135689,true,false,true,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,18.855725,3,3,0,https://bscscan.com/address/0xc1890c46342aa706929bdc32691eb60342135689
Layer 1 Index,Layer%201%20Index,0x21406642d69ee3bf6ffc6795a0fa3c70c28132c7,false,false,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,14.047625,2,0,1,https://bscscan.com/address/0x21406642d69ee3bf6ffc6795a0fa3c70c28132c7
Layer 2 Index,Layer%202%20Index,0xe906e2047d7fb07a9828b2342d64957407ac55e2,false,false,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,19.844956,2,1,1,https://bscscan.com/address/0xe906e2047d7fb07a9828b2342d64957407ac55e2
Made In USA Index,Made%20In%20USA%20Index,0x446d0dcf7aa2e05b7e955237beb03c19cfce48e3,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,1663.529456,5,2,3,https://bscscan.com/address/0x446d0dcf7aa2e05b7e955237beb03c19cfce48e3
Made In USA Index,Made%20In%20USA%20Index,0x5b6a02e0bd8ed1d6d58368d60275f60d26e0fb55,false,true,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,94205.965823,61,64,4,https://bscscan.com/address/0x5b6a02e0bd8ed1d6d58368d60275f60d26e0fb55
Magnus Carlsen,Magnus%20Carlsen,0x267a9ed5b43fdde6b4cf0f18802b436eaf19f164,false,false,false,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,17.536015,2,0,0,https://bscscan.com/address/0x267a9ed5b43fdde6b4cf0f18802b436eaf19f164
Memes Index,Memes%20Index,0xe2c1220cac67dd50ccf917edbdfea34ad23a0371,false,false,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,14.048716,2,0,1,https://bscscan.com/address/0xe2c1220cac67dd50ccf917edbdfea34ad23a0371
MrBeast Index,MrBeast%20Index,0x02e9bbcf589ffcbdcc7f26064bf718611523a2bf,true,false,true,,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,2693295.836550,459,432,28,https://bscscan.com/address/0x02e9bbcf589ffcbdcc7f26064bf718611523a2bf
Real Estate Dominance,Real%20Estate%20Dominance,0x43d1db2c2c4b9a322a551f9cb3ba45d800b60e5e,false,false,false,PERCENTAGE,2026-05-04T13:00:00Z,2026-06-03T12:00:00Z,,,0.000000,0.000000,0.000000,0.000000,,,0,0,0,0.0000,16041.192563,4,3,0,https://bscscan.com/address/0x43d1db2c2c4b9a322a551f9cb3ba45d800b60e5e
